#FamilyID	pvalue	Significant at 0.05
OG0000021	0	y
OG0000022	0	y
OG0000024	0	y
OG0000027	0	y
OG0000033	0	y
OG0000036	0	y
OG0000044	0	y
OG0000048	0	y
OG0000049	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0	y
OG0000057	0	y
OG0000058	0	y
OG0000061	0	y
OG0000062	0	y
OG0000063	0	y
OG0000064	0	y
OG0000065	0	y
OG0000067	0	y
OG0000070	0	y
OG0000071	0	y
OG0000073	0	y
OG0000074	0	y
OG0000075	0	y
OG0000076	0	y
OG0000079	0	y
OG0000080	0	y
OG0000082	0	y
OG0000083	0	y
OG0000084	0	y
OG0000086	0	y
OG0000087	0	y
OG0000088	0	y
OG0000091	0	y
OG0000092	0	y
OG0000096	0	y
OG0000097	0	y
OG0000102	0	y
OG0000104	0	y
OG0000106	0	y
OG0000111	0	y
OG0000112	0	y
OG0000116	0	y
OG0000118	0	y
OG0000120	0	y
OG0000121	0	y
OG0000122	0	y
OG0000123	0	y
OG0000124	0	y
OG0000125	0	y
OG0000126	0	y
OG0000128	0	y
OG0000129	0	y
OG0000131	0	y
OG0000132	0	y
OG0000136	0	y
OG0000137	0	y
OG0000138	0	y
OG0000140	0	y
OG0000141	0	y
OG0000143	0	y
OG0000144	0	y
OG0000145	0	y
OG0000146	0	y
OG0000147	0	y
OG0000148	0	y
OG0000149	0	y
OG0000150	0	y
OG0000151	0	y
OG0000152	0	y
OG0000154	0	y
OG0000155	0	y
OG0000158	0	y
OG0000159	0	y
OG0000160	0	y
OG0000161	0	y
OG0000162	0	y
OG0000163	0	y
OG0000164	0	y
OG0000165	0	y
OG0000167	0	y
OG0000168	0	y
OG0000169	0	y
OG0000171	0	y
OG0000172	0	y
OG0000173	0	y
OG0000174	0	y
OG0000175	0	y
OG0000176	0	y
OG0000177	0	y
OG0000179	0	y
OG0000180	0	y
OG0000181	0	y
OG0000182	0	y
OG0000184	0	y
OG0000185	0	y
OG0000186	0	y
OG0000190	0	y
OG0000191	0	y
OG0000192	0	y
OG0000193	0	y
OG0000194	0	y
OG0000197	0	y
OG0000198	0	y
OG0000203	0	y
OG0000204	0	y
OG0000205	0	y
OG0000206	0	y
OG0000209	0	y
OG0000210	0	y
OG0000211	0	y
OG0000212	0	y
OG0000213	0	y
OG0000214	0	y
OG0000215	0	y
OG0000216	0	y
OG0000217	0	y
OG0000219	0	y
OG0000220	0	y
OG0000221	0	y
OG0000222	0	y
OG0000223	0	y
OG0000230	0	y
OG0000231	0	y
OG0000233	0	y
OG0000235	0	y
OG0000236	0	y
OG0000237	0	y
OG0000239	0	y
OG0000240	0	y
OG0000241	0	y
OG0000242	0	y
OG0000243	0	y
OG0000244	0	y
OG0000245	0	y
OG0000249	0	y
OG0000250	0	y
OG0000253	0	y
OG0000254	0	y
OG0000256	0	y
OG0000257	0	y
OG0000258	0	y
OG0000259	0	y
OG0000260	0	y
OG0000264	0	y
OG0000265	0	y
OG0000267	0	y
OG0000268	0	y
OG0000269	0	y
OG0000270	0	y
OG0000271	0	y
OG0000272	0	y
OG0000273	0	y
OG0000274	0	y
OG0000275	0	y
OG0000276	0	y
OG0000277	0	y
OG0000279	0	y
OG0000282	0	y
OG0000283	0	y
OG0000284	0	y
OG0000285	0	y
OG0000287	0	y
OG0000288	0	y
OG0000289	0	y
OG0000290	0	y
OG0000291	0	y
OG0000293	0	y
OG0000294	0	y
OG0000295	0	y
OG0000296	0	y
OG0000299	0	y
OG0000300	0	y
OG0000301	0	y
OG0000302	0	y
OG0000303	0	y
OG0000304	0	y
OG0000305	0	y
OG0000306	0	y
OG0000308	0	y
OG0000313	0	y
OG0000315	0	y
OG0000316	0	y
OG0000317	0	y
OG0000318	0	y
OG0000320	0	y
OG0000324	0	y
OG0000325	0	y
OG0000326	0	y
OG0000327	0	y
OG0000328	0	y
OG0000329	0	y
OG0000330	0	y
OG0000331	0	y
OG0000332	0	y
OG0000333	0	y
OG0000335	0	y
OG0000336	0	y
OG0000337	0	y
OG0000338	0	y
OG0000343	0	y
OG0000344	0	y
OG0000345	0	y
OG0000346	0	y
OG0000347	0	y
OG0000348	0	y
OG0000349	0	y
OG0000350	0	y
OG0000351	0	y
OG0000352	0	y
OG0000353	0	y
OG0000355	0	y
OG0000359	0	y
OG0000360	0	y
OG0000361	0	y
OG0000362	0	y
OG0000363	0	y
OG0000364	0	y
OG0000368	0	y
OG0000369	0	y
OG0000370	0	y
OG0000371	0	y
OG0000372	0	y
OG0000373	0	y
OG0000374	0	y
OG0000379	0	y
OG0000380	0	y
OG0000381	0	y
OG0000382	0	y
OG0000383	0	y
OG0000384	0	y
OG0000387	0	y
OG0000388	0	y
OG0000390	0	y
OG0000391	0	y
OG0000392	0	y
OG0000393	0	y
OG0000394	0	y
OG0000398	0	y
OG0000399	0	y
OG0000400	0	y
OG0000401	0	y
OG0000402	0	y
OG0000404	0	y
OG0000405	0	y
OG0000406	0	y
OG0000407	0	y
OG0000408	0	y
OG0000412	0	y
OG0000413	0	y
OG0000415	0	y
OG0000416	0	y
OG0000417	0	y
OG0000418	0	y
OG0000420	0	y
OG0000421	0	y
OG0000422	0	y
OG0000423	0	y
OG0000424	0	y
OG0000425	0	y
OG0000426	0	y
OG0000427	0	y
OG0000428	0	y
OG0000429	0	y
OG0000430	0	y
OG0000432	0	y
OG0000433	0	y
OG0000436	0	y
OG0000438	0	y
OG0000439	0	y
OG0000441	0	y
OG0000442	0	y
OG0000443	0	y
OG0000444	0	y
OG0000445	0	y
OG0000454	0	y
OG0000456	0	y
OG0000458	0	y
OG0000459	0	y
OG0000460	0	y
OG0000461	0	y
OG0000462	0	y
OG0000463	0	y
OG0000464	0	y
OG0000465	0	y
OG0000467	0	y
OG0000473	0	y
OG0000474	0	y
OG0000475	0	y
OG0000476	0	y
OG0000478	0	y
OG0000479	0	y
OG0000480	0	y
OG0000481	0	y
OG0000485	0	y
OG0000486	0	y
OG0000487	0	y
OG0000488	0	y
OG0000489	0	y
OG0000490	0	y
OG0000491	0	y
OG0000492	0	y
OG0000493	0	y
OG0000494	0	y
OG0000496	0	y
OG0000497	0	y
OG0000498	0	y
OG0000499	0	y
OG0000501	0	y
OG0000503	0	y
OG0000504	0	y
OG0000505	0.011	y
OG0000506	0	y
OG0000507	0	y
OG0000508	0	y
OG0000511	0	y
OG0000513	0	y
OG0000515	0	y
OG0000516	0	y
OG0000518	0	y
OG0000521	0	y
OG0000522	0	y
OG0000523	0	y
OG0000525	0	y
OG0000526	0	y
OG0000527	0	y
OG0000528	0	y
OG0000529	0	y
OG0000530	0	y
OG0000531	0	y
OG0000532	0	y
OG0000533	0	y
OG0000535	0	y
OG0000539	0	y
OG0000540	0	y
OG0000541	0.001	y
OG0000542	0	y
OG0000543	0	y
OG0000544	0	y
OG0000545	0	y
OG0000546	0	y
OG0000548	0	y
OG0000551	0	y
OG0000552	0	y
OG0000553	0.001	y
OG0000554	0	y
OG0000555	0	y
OG0000556	0	y
OG0000557	0	y
OG0000558	0	y
OG0000559	0	y
OG0000561	0	y
OG0000562	0	y
OG0000563	0	y
OG0000565	0	y
OG0000566	0	y
OG0000568	0	y
OG0000569	0	y
OG0000570	0	y
OG0000571	0	y
OG0000572	0	y
OG0000573	0	y
OG0000574	0	y
OG0000575	0	y
OG0000576	0	y
OG0000577	0	y
OG0000578	0	y
OG0000579	0	y
OG0000580	0	y
OG0000581	0	y
OG0000582	0	y
OG0000587	0	y
OG0000588	0	y
OG0000589	0	y
OG0000590	0	y
OG0000591	0	y
OG0000592	0	y
OG0000593	0	y
OG0000594	0	y
OG0000595	0	y
OG0000596	0	y
OG0000599	0	y
OG0000600	0	y
OG0000601	0	y
OG0000602	0	y
OG0000603	0	y
OG0000604	0	y
OG0000605	0	y
OG0000607	0	y
OG0000608	0	y
OG0000609	0	y
OG0000610	0	y
OG0000613	0	y
OG0000616	0.004	y
OG0000617	0	y
